Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/810-34th-St-Boulder-CO-80303/13186071_zpid/","Single Family","3200","1000","sqft","3.2","3","2","810 34th St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/770-S-Lashley-Ln-Boulder-CO-80305/13186194_zpid/","Townhouse","2095","1056","sqft","1.98","2","1","770 S Lashley Ln","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1085-Broadway-APT-14-Boulder-CO-80302/13242335_zpid/","Apartment","2050","542","sqft","3.78","1","1","1085 Broadway","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3670-Berkley-Ave-Boulder-CO-80305/13184185_zpid/","Single Family","700","936","sqft","0.75","3","1","3670 Berkley Ave","Boulder","80305","CO","USA"
"https://www.zillow.com/b/1621-9th-street-boulder-co-9LfkcG/","Building","","","","","","","1621 9th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2645-Folsom-St-A-Boulder-CO-80304/442725796_zpid/","Townhouse","6145","2002","sqft","3.07","5","2","2645 Folsom St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2695-Vassar-Dr-Boulder-CO-80305/13183608_zpid/","Single Family","5500","2584","sqft","2.13","5","3","2695 Vassar Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/2855-Marine-St-APT-3-Boulder-CO-80303/13234267_zpid/","Apartment","2900","1080","sqft","2.69","2","1","2855 Marine St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2253-Columbine-Ave-Boulder-CO-80302/13177484_zpid/","Single Family","4845","1088","sqft","4.45","3","2","2253 Columbine Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/b/1633-4th-st-boulder-co-5Zb4PD/","Building","","","","","","","1633 4th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/503-Harvard-Ln-APT-1-Boulder-CO-80305/2077450938_zpid/","Townhouse","3400","1500","sqft","2.27","4","2","503 Harvard Ln","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/3000-Broadway-St-APT-1-Boulder-CO-80304/13221139_zpid/","Apartment","2000","710","sqft","2.82","1","1","3000 Broadway St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2530-Stephens-Rd-Boulder-CO-80305/13188333_zpid/","Single Family","4200","2210","sqft","1.9","4","2","2530 Stephens Rd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1021-Tantra-Park-Cir-Boulder-CO-80305/13224253_zpid/","Single Family","4400","1700","sqft","2.59","4","2","1021 Tantra Park Cir","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/2205-Arapahoe-Ave-APT-4-Boulder-CO-80302/13233342_zpid/","Apartment","2250","447","sqft","5.03","1","1","2205 Arapahoe Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2315-Spruce-St-Boulder-CO-80302/2077450912_zpid/","Townhouse","2950","1100","sqft","2.68","3","1","2315 Spruce St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2775-7th-St-Boulder-CO-80304/13182219_zpid/","Single Family","6495","1420","sqft","4.57","3","2","2775 7th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1854-Del-Rosa-Ct-Boulder-CO-80304/13183422_zpid/","Single Family","5700","1954","sqft","2.92","4","3","1854 Del Rosa Ct","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1579-Greenbriar-Blvd-Boulder-CO-80305/442707602_zpid/","Townhouse","3900","2500","sqft","1.56","4","4","1579 Greenbriar Blvd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/2690-Valmont-Rd-9-Boulder-CO-80304/2057750464_zpid/","Apartment","1821","500","sqft","3.64","1","1","2690 Valmont Rd","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/5188-Olde-Stage-Rd-Boulder-CO-80302/13196347_zpid/","Single Family","4500","2780","sqft","1.62","4","3","5188 Olde Stage Rd","Boulder","80302","CO","USA"
