Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1675-Upland-Ave-Boulder-CO-80304/13195934_zpid/","","House for sale","Single Family","52","10/14/2024","2850000","No","","","2346","sqft","1214.83","0.76","acres","4","3","1675 Upland Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4658-White-Rock-Cir-APT-5-Boulder-CO-80301/54990909_zpid/","","Condo for sale","Condominium","52","10/14/2024","398500","No","","","887","sqft","449.27","","","2","2","4658 White Rock Cir UNIT 5","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2227-Canyon-Blvd-BLDG-EAST-455-Boulder-CO-80302/441785482_zpid/","","Condo for sale","Condominium","52","10/14/2024","450000","No","","","702","sqft","641.03","","","1","1","2227 Canyon Blvd East-455","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3501-Kirkwood-Pl-Boulder-CO-80304/13182823_zpid/","","House for sale","Single Family","54","10/12/2024","1450000","Yes","50000","12/02/2024","2760","sqft","525.36","9864","sqft","4","3","3501 Kirkwood Pl","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/987-Lost-Angel-Rd-Boulder-CO-80302/13194249_zpid/","","House for sale","Single Family","55","10/11/2024","3625000","No","","","4333","sqft","836.6","24","acres","4","4","987 Lost Angel Road","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/695-Manhattan-Dr-APT-101-Boulder-CO-80303/13229643_zpid/","","Townhouse for sale","Townhouse","55","10/11/2024","415000","No","","","880","sqft","471.59","","","2","2","695 Manhattan Dr UNIT 101","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/5040-Ralston-St-UNIT-B-Boulder-CO-80304/90146802_zpid/","","Townhouse for sale","Townhouse","55","10/11/2024","420000","No","","","724","sqft","580.11","","","1","1","5040 Ralston St UNIT B","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/5375-Gunbarrel-Cir-Longmont-CO-80503/13220552_zpid/","","House for sale","Single Family","55","10/11/2024","949500","No","","","3231","sqft","293.87","0.32","acres","5","3","5375 Gunbarrel Cir","Longmont","80503","CO","USA"
"https://www.zillow.com/homedetails/1621-Orchard-Ave-Boulder-CO-80304/68052621_zpid/","","New construction","Single Family","55","10/11/2024","6500000","No","","","5789","sqft","1122.82","0.43","acres","5","6","1621 Orchard Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2510-Taft-Dr-APT-313-Boulder-CO-80302/61632986_zpid/","","Condo for sale","Condominium","55","10/11/2024","244430","No","","","1164","sqft","209.99","","","2","2","2510 Taft Dr UNIT 313","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1031-Portland-Pl-APT-4-Boulder-CO-80304/13233891_zpid/","","Condo for sale","Condominium","56","10/10/2024","775000","No","","","1245","sqft","622.49","","","3","2","1031 Portland Pl UNIT 4","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1267-Balsam-Ave-Boulder-CO-80304/441732922_zpid/","","New construction","Condominium","56","10/10/2024","3405400","No","","","3772","sqft","902.81","9142","sqft","3","5","1267 Balsam Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1855-Grape-Ave-Boulder-CO-80304/13180792_zpid/","","House for sale","Single Family","56","10/10/2024","999000","Yes","51000","11/17/2024","2208","sqft","452.45","6970","sqft","4","2","1855 Grape Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/6148-Willow-Ln-Boulder-CO-80301/13235348_zpid/","","Townhouse for sale","Townhouse","56","10/10/2024","469000","No","","","1030","sqft","455.34","","","2","2","6148 Willow Ln","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/135-Poorman-Rd-Boulder-CO-80302/13192383_zpid/","","House for sale","Single Family","56","10/10/2024","2700000","Yes","100000","11/22/2024","3912","sqft","690.18","1.8","acres","4","4","135 Poorman Road","Boulder","80302","CO","USA"
