Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/2212-Edgewood-Dr-Boulder-CO-80304/13181641_zpid/","","Single Family","965000","09/09/24","1388","sqft","695.24","9583","sqft","3","2","2212 Edgewood Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2834-15th-St-Boulder-CO-80304/13179539_zpid/","","Single Family","3715000","09/06/24","4423","sqft","839.93","7765","sqft","5","5","2834 15th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3033-9th-St-Boulder-CO-80304/13181418_zpid/","","Single Family","4497000","09/06/24","4652","sqft","966.68","7927","sqft","5","4","3033 9th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4706-Chatham-St-Boulder-CO-80301/13200116_zpid/","","Single Family","799000","09/06/24","3114","sqft","256.58","9008","sqft","4","2","4706 Chatham St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/7175-Four-Rivers-Rd-Boulder-CO-80301/13219691_zpid/","","Single Family","1120000","09/06/24","3623","sqft","309.14","0.42","acres","3","4","7175 Four Rivers Rd","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3150-Iris-Ave-F101-Boulder-CO-80301/13223231_zpid/","","Condominium","369000","09/06/24","958","sqft","385.18","958","sqft","2","1","3150 Iris Avenue  Unit F101","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/665-Manhattan-Dr-APT-205-Boulder-CO-80303/13226524_zpid/","","Condominium","400000","09/06/24","880","sqft","454.55","","","2","2","665 Manhattan Dr UNIT 205","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/5116-Williams-Fork-Trl-APT-207-Boulder-CO-80301/13227619_zpid/","","Condominium","240000","09/06/24","625","sqft","384","","","1","1","5116 Williams Fork Trl UNIT 207","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5025-5th-St-Boulder-CO-80304/67090188_zpid/","","Townhouse","926000","09/06/24","2580","sqft","358.91","1421","sqft","3","4","5025 5th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2830-East-Ave-101-Boulder-CO-80303/90147110_zpid/","","Unknown","1050000","09/06/2024","2059","sqft","509.96","1.88","acres","4","4","2830 E College Ave 101","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3778-Moffit-Ct-Boulder-CO-80304/13178604_zpid/","","Single Family","1991500","09/05/24","3065","sqft","649.76","7925","sqft","4","4","3778 Moffit Ct","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/344-S-68th-St-Boulder-CO-80303/13197404_zpid/","","Single Family","1575000","09/05/24","2878","sqft","547.26","3.1","acres","5","4","344 S 68th St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1414-Pine-St-Boulder-CO-80302/13228231_zpid/","","Single Family","925000","09/05/24","1906","sqft","485.31","3585","sqft","3","1","1414 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/943-Zamia-Ave-Boulder-CO-80304/124224229_zpid/","","Single Family","1410000","09/05/24","2462","sqft","572.71","4572","sqft","4","4","943 Zamia Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1120-Hartford-Dr-Boulder-CO-80305/13183981_zpid/","","Single Family","760000","09/04/2024","1546","sqft","491.59","6969","sqft","4","3","1120 Hartford Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/2484-Yarmouth-Ave-Boulder-CO-80301/13195908_zpid/","","Lot/Land","1062000","09/04/24","","","","1.86","acres","","","2484 Yarmouth Ave","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3161-Madison-Ave-APT-N306-Boulder-CO-80303/13233971_zpid/","","Condominium","290000","09/04/24","570","sqft","508.77","","","1","1","3161 Madison Ave N-306","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/4500-Baseline-Rd-Boulder-CO-80303/109686356_zpid/","","Unknown","590000","09/04/2024","1025","sqft","575.61","","","2","2","4500 Baseline Rd","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/156-Betasso-Rd-Boulder-CO-80302/13192397_zpid/","","Single Family","1600000","09/03/24","4076","sqft","392.54","5.86","acres","4","3","156 Betasso Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4648-Jameston-St-Boulder-CO-80301/13200319_zpid/","","Single Family","810000","09/03/24","2535","sqft","319.53","8066","sqft","3","3","4648 Jameston St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5102-Williams-Fork-Trl-APT-109-Boulder-CO-80301/13227563_zpid/","","Townhouse","252500","09/03/2024","924","sqft","273.27","","","2","1.75","5102 Williams Fork Trl APT 109","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3104-Gatling-Ln-Boulder-CO-80301/13240979_zpid/","","Single Family","625000","09/03/2024","1132","sqft","552.12","3382","sqft","3","2.5","3104 Gatling Ln","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/4383-Scarsdale-Pl-Boulder-CO-80301/13249403_zpid/","","Single Family","1565000","09/03/24","4403","sqft","355.44","7427","sqft","5","4","4383 Scarsdale Pl","Boulder","80301","CO","USA"
